/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 205, train loss 0.0249, val loss 0.4394, val average_precision 0.6950
Epoch 206, train loss 0.0244, val loss 0.4668, val average_precision 0.6891
Epoch 207, train loss 0.0239, val loss 0.4609, val average_precision 0.7015
Epoch 208, train loss 0.0236, val loss 0.4520, val average_precision 0.7025
Epoch 209, train loss 0.0251, val loss 0.4816, val average_precision 0.6889
Epoch 210, train loss 0.0269, val loss 0.4516, val average_precision 0.6808
Epoch 211, train loss 0.0240, val loss 0.4490, val average_precision 0.6860
Epoch 212, train loss 0.0255, val loss 0.4697, val average_precision 0.6849
Epoch 213, train loss 0.0271, val loss 0.4605, val average_precision 0.6910
Epoch 214, train loss 0.0254, val loss 0.4823, val average_precision 0.6845
Epoch 215, train loss 0.0251, val loss 0.4536, val average_precision 0.6850
Epoch 216, train loss 0.0225, val loss 0.4533, val average_precision 0.6889
Epoch 217, train loss 0.0213, val loss 0.4835, val average_precision 0.6928
Epoch 218, train loss 0.0247, val loss 0.4710, val average_precision 0.6875
Epoch 219, train loss 0.0225, val loss 0.4768, val average_precision 0.6891
Epoch 220, train loss 0.0231, val loss 0.4852, val average_precision 0.6835
Epoch 221, train loss 0.0228, val loss 0.4685, val average_precision 0.6826
Epoch 222, train loss 0.0238, val loss 0.4541, val average_precision 0.6882
Epoch 223, train loss 0.0232, val loss 0.4652, val average_precision 0.6810
Epoch 224, train loss 0.0242, val loss 0.4507, val average_precision 0.6948
Epoch 225, train loss 0.0223, val loss 0.4690, val average_precision 0.6916
Epoch 226, train loss 0.0207, val loss 0.4817, val average_precision 0.6909
Epoch 227, train loss 0.0236, val loss 0.4803, val average_precision 0.6860
Epoch 228, train loss 0.0220, val loss 0.4831, val average_precision 0.6910
Epoch 229, train loss 0.0224, val loss 0.4720, val average_precision 0.6924
Epoch 230, train loss 0.0216, val loss 0.4921, val average_precision 0.6906
Epoch 231, train loss 0.0207, val loss 0.4813, val average_precision 0.6941
Epoch 232, train loss 0.0212, val loss 0.4929, val average_precision 0.6966
Epoch 233, train loss 0.0225, val loss 0.4756, val average_precision 0.6917
Epoch 234, train loss 0.0222, val loss 0.4748, val average_precision 0.6946
Epoch 235, train loss 0.0207, val loss 0.4973, val average_precision 0.6885
Epoch 236, train loss 0.0234, val loss 0.4799, val average_precision 0.6869
Epoch 237, train loss 0.0211, val loss 0.4826, val average_precision 0.6912
Epoch 238, train loss 0.0201, val loss 0.4805, val average_precision 0.6987
Epoch 239, train loss 0.0197, val loss 0.4918, val average_precision 0.6852
Epoch 240, train loss 0.0214, val loss 0.4926, val average_precision 0.6867
